year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price,market_share,market_size_x,market_size_y
2019,国产新能源乘用车,云南省,江铃新能源,易至EX5,纯电动,1905.0,60.0,8.0,0.0,4.4123886296139155e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,沃尔沃,沃尔沃S90,插电式汽油混合动力,2620.0,65.0,11.0,0.0,6.067034365719134e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,沃尔沃,沃尔沃XC60,插电式汽油混合动力,2660.0,241.26315789473685,19.0,0.0,1.047942299533305e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,猎豹,猎豹CS9,纯电动,2013.0,90.0,55.0,0.0,3.033517182859567e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,现代,伊兰特EV,纯电动,1845.0,81.4,6.0,0.0,3.3092914722104367e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,现代,索纳塔九,插电式汽油混合动力,2230.0,60.833333333333336,6.0,0.0,3.3092914722104367e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,现代,领动,插电式汽油混合动力,2000.0,44.5,1.0,0.0,5.5154857870173944e-08,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,祺智,祺智EV,纯电动,2080.0,132.0,7.0,0.0,3.860840050912176e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,红旗,红旗E-HS3,纯电动,2196.0,114.0,2.0,0.0,1.1030971574034789e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,荣威,荣威Ei5,纯电动,1971.3737373737374,86.21212121212122,198.0,0.0,1.0920661858294442e-05,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,蔚来,蔚来ES6,纯电动,2813.75,42.5,64.0,0.0,3.5299109036911324e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,蔚来,蔚来ES8,纯电动,3099.0,18.823529411764707,51.0,0.0,2.8128977513788713e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,起亚,起亚K5,插电式汽油混合动力,2200.0,50.0,1.0,0.0,5.5154857870173944e-08,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,野马,野马EC30,纯电动,2290.0,107.5,4.0,0.0,2.2061943148069578e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,长安,奔奔,纯电动,1569.0625,44.0625,16.0,0.0,8.824777259227831e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,长安,逸动,插电式汽油混合动力,1975.0,80.0,1.0,0.0,5.5154857870173944e-08,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,长安,逸动,纯电动,2025.0,100.0,32.0,0.0,1.7649554518455662e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,长安,长安CS15,纯电动,1905.0,55.0,8.0,0.0,4.4123886296139155e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,长安,长安CS75,插电式汽油混合动力,2445.0,13.529411764705882,17.0,0.0,9.37632583792957e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,长安欧尚,长行,纯电动,1970.0,90.0,1.0,0.0,5.5154857870173944e-08,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,领克,领克01,插电式汽油混合动力,2237.595744680851,93.70212765957447,47.0,0.0,2.5922783198981755e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,内蒙古自治区,东南,东南DX3,纯电动,2015.0,90.0,4.0,0.0,4.306418219461698e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,丰田,卡罗拉,插电式汽油混合动力,1975.0,53.0,3.0,0.0,3.2298136645962737e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,丰田,雷凌,插电式汽油混合动力,1975.0,53.0,38.0,0.0,4.091097308488613e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,凯迪拉克,凯迪拉克CT6,插电式汽油混合动力,2470.0,296.0,1.0,0.0,1.0766045548654244e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,吉利,博瑞GE,插电式汽油混合动力,2165.0,63.42857142857143,21.0,0.0,2.2608695652173913e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,吉利,嘉际,插电式汽油混合动力,2371.0,60.0,18.0,0.0,1.937888198757764e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,吉利,帝豪,纯电动,1970.0,120.0,5.0,0.0,5.383022774327123e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,吉利,帝豪GL,插电式汽油混合动力,2025.0,60.0,2.0,0.0,2.153209109730849e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,吉利,帝豪GSe,纯电动,2010.0,120.0,31.0,0.0,3.337474120082816e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,吉利,缤越,插电式汽油混合动力,1923.0,60.0,2.0,0.0,2.153209109730849e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,启辰,启辰D60,纯电动,1950.0,120.0,1.0,0.0,1.0766045548654244e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,大众,帕萨特,插电式汽油混合动力,2190.0,85.0,148.0,0.0,1.5933747412008282e-05,9288461.538461538,928.8461538461538
