year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price,market_size,market_share,nesting_ids,is_electric,shares,nest_total_sales,nest_shares,within_nest_shares,EV_total_sales,EV_share,province_id,brand_id,model_id,product_id,market_id,charging_stations_stock,charging_stations_stock_lag,range,batter_weight,battery_capacity,sum_rival_mass,sum_rival_power,euclidean_mass,euclidean_power,local_mass,local_power,steel_price_index,cost_shifter,sum_rival_range,sum_rival_battery,euclidean_range,euclidean_battery,local_range,local_battery
2019,国产新能源乘用车,云南省,启辰,启辰D60,BEV,1950.0,120.0,22,10.53,18130769.23076923,1.213406873143827e-06,1,1,1.213406873143827e-06,7643,0.0004215485787017395,0.002878450870077195,7643,0.0004215485787017395,P02,B26,M01,B26M01,P02Y2019,3702,1987,430.0,325.0,51.0,299514.1846560374,16422.178720972468,1.7405092e+07,488857.12,121,80,108.219,211027.05,46308.66897546898,55410.21335151515,4.928343e+06,1.0443285e+08,101,103
2019,国产新能源乘用车,云南省,奥迪,奥迪A6L,PHEV,2477.0,140.0,7,54.235,18130769.23076923,3.860840050912176e-07,1,1,3.860840050912176e-07,7643,0.0004215485787017395,0.0009158707313881983,7643,0.0004215485787017395,P02,B08,M01,B08M01,P02Y2019,3702,1987,54.0,1984.0,2150.0,298987.1846560374,16402.178720972468,1.3124954e+07,429580.28,125,87,108.219,268058.463,46684.66897546898,53311.21335151515,4.40603e+06,1.0631318e+08,67,103
2019,国产新能源乘用车,云南省,奥迪,奥迪Q2L,BEV,2090.0,100.0,11,24.57999999999999,18130769.23076923,6.067034365719134e-07,1,1,6.067034365719134e-07,7643,0.0004215485787017395,0.001439225435038598,7643,0.0004215485787017395,P02,B08,M02,B08M02,P02Y2019,3702,1987,300.3333333333333,315.0,41.7,299374.1846560374,16442.178720972468,1.811187e+07,491951.75,120,81,108.219,226177.71,46438.335642135644,55419.513351515154,4.40603e+06,1.0631318e+08,67,103
2019,国产新能源乘用车,云南省,宝马,宝马5系,PHEV,2495.0,70.0,198,49.95,18130769.23076923,1.092066185829444e-05,1,1,1.092066185829444e-05,7643,0.0004215485787017395,0.02590605783069475,7643,0.0004215485787017395,P02,B09,M01,B09M01,P02Y2019,3702,1987,87.66666666666667,1998.0,2004.833333333333,298969.1846560374,16472.178720972468,2.1758236e+07,310479.0,113,108,108.219,270006.40499999997,46651.002308802315,53456.380018181815,4.1632672e+06,1.0529855e+08,69,103
2019,国产新能源乘用车,云南省,宝马,宝马X1,PHEV,2340.0,72.5,36,31.94,18130769.23076923,1.985574883326262e-06,1,1,1.985574883326262e-06,7643,0.0004215485787017395,0.004710192332853591,7643,0.0004215485787017395,P02,B09,M02,B09M02,P02Y2019,3702,1987,533.3333333333334,390.0,66.0,299124.1846560374,16469.678720972468,1.4414212e+07,252796.1,127,108,108.219,253232.46,46205.335642135644,55395.21335151515,7.5271365e+06,1.0957525e+08,81,103
2019,国产新能源乘用车,云南省,宝骏,宝骏E100,BEV,990.0434782608696,29.0,621,5.230000000000001,18130769.23076923,3.425116673737802e-05,1,1,3.425116673737802e-05,7643,0.0004215485787017395,0.08125081774172445,7643,0.0004215485787017395,P02,B10,M01,B10M01,P02Y2019,3702,1987,255.0,179.5,23.95,300474.14117777656,16513.178720972468,1.2276288e+07,274205.44,131,106,108.219,107141.51517391304,46483.66897546898,55437.263351515154,1.0204018e+07,1.029807e+08,58,103
2019,国产新能源乘用车,云南省,小鹏,小鹏G3,BEV,2036.078431372549,145.0,51,18.54,18130769.23076923,2.812897751378871e-06,1,1,2.812897751378871e-06,7643,0.0004215485787017395,0.006672772471542588,7643,0.0004215485787017395,P02,B11,M01,B11M01,P02Y2019,3702,1987,315.0,331.0,47.0,299428.1062246649,16397.178720972468,4.215409e+07,649012.5,50,59,108.219,220342.37176470587,46423.66897546898,55414.21335151515,1.0204018e+07,1.029807e+08,58,103
2019,国产新能源乘用车,云南省,日产,轩逸,BEV,1940.0,80.0,11,13.735,18130769.23076923,6.067034365719134e-07,1,1,6.067034365719134e-07,7643,0.0004215485787017395,0.001439225435038598,7643,0.0004215485787017395,P02,B12,M01,B12M01,P02Y2019,3702,1987,338.0,296.5,38.0,299524.1846560374,16462.178720972468,1.5930906e+07,250697.06,126,114,108.219,209944.86,46400.66897546898,55423.21335151515,1.0204018e+07,1.029807e+08,58,103
2019,国产新能源乘用车,云南省,欧拉,欧拉iQ,BEV,1855.0,120.0,85,13.255,18130769.23076923,4.688162918964786e-06,1,1,4.688162918964786e-06,7643,0.0004215485787017395,0.01112128745257098,7643,0.0004215485787017395,P02,B13,M01,B13M01,P02Y2019,3702,1987,398.5,337.625,50.0,299609.1846560374,16422.178720972468,1.306357e+07,822222.0,124,44,108.219,200746.245,46340.16897546898,55411.21335151515,1.0204018e+07,1.029807e+08,58,103
2019,国产新能源乘用车,云南省,江淮,江淮iEVA50,BEV,2150.0,92.0,1,13.765,18130769.23076923,5.515485787017394e-08,1,1,5.515485787017394e-08,7643,0.0004215485787017395,0.0001308386759125998,7643,0.0004215485787017395,P02,B14,M02,B14M02,P02Y2019,3702,1987,401.5,426.75,57.9375,299314.1846560374,16450.178720972468,2.3306388e+07,930406.6,106,36,108.219,232670.84999999998,46337.16897546898,55403.27585151515,1.0204018e+07,1.029807e+08,58,103
2019,国产新能源乘用车,云南省,江铃新能源,易至EX5,BEV,1905.0,60.0,8,12.93,18130769.23076923,4.412388629613916e-07,1,1,4.412388629613916e-07,7643,0.0004215485787017395,0.001046709407300798,7643,0.0004215485787017395,P02,B27,M01,B27M01,P02Y2019,3702,1987,419.2,396.8,56.6072,299559.1846560374,16482.178720972468,3.6908656e+07,1.2752932e+06,65,20,108.219,206157.19499999998,46319.46897546898,55404.60615151515,1.0204018e+07,1.029807e+08,58,103
2019,国产新能源乘用车,云南省,沃尔沃,沃尔沃XC60,PHEV,2660.0,241.2631578947368,19,42.63999999999999,18130769.23076923,1.047942299533305e-06,1,1,1.047942299533305e-06,7643,0.0004215485787017395,0.002485934842339396,7643,0.0004215485787017395,P02,B15,M02,B15M02,P02Y2019,3702,1987,533.3333333333334,390.0,66.0,298804.1846560374,16300.915563077731,6.95928e+07,822222.0,24,44,108.219,287862.54,46205.335642135644,55395.21335151515,1.3821165e+07,3.341452e+08,38,37
2019,国产新能源乘用车,云南省,祺智,祺智EV,BEV,2080.0,132.0,7,13.48,18130769.23076923,3.860840050912176e-07,1,1,3.860840050912176e-07,7643,0.0004215485787017395,0.0009158707313881983,7643,0.0004215485787017395,P02,B16,M01,B16M01,P02Y2019,3702,1987,410.0,353.0,55.0,299384.1846560374,16410.178720972468,1.7951586e+07,254302.73,121,108,108.219,225095.52,46328.66897546898,55406.21335151515,1.393188e+07,2.3067333e+08,38,37
