year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price
2019,国产新能源乘用车,北京市,奔腾,奔腾X40,纯电动,1955.0,140.0,1.0,0.0
2019,国产新能源乘用车,北京市,奥迪,奥迪A6L,插电式汽油混合动力,2477.0,140.0,28.0,54.235
2019,国产新能源乘用车,北京市,奥迪,奥迪Q2L,纯电动,2090.0,100.0,31.0,24.579999999999995
2019,国产新能源乘用车,北京市,宝马,宝马5系,插电式汽油混合动力,2495.205882352941,70.7,340.0,49.95
2019,国产新能源乘用车,北京市,宝马,宝马X1,插电式汽油混合动力,2340.0,73.75,88.0,31.94
2019,国产新能源乘用车,北京市,宝骏,宝骏E100,纯电动,989.8461538461538,29.0,65.0,5.230000000000001
2019,国产新能源乘用车,北京市,小鹏,小鹏G3,纯电动,2036.4438502673797,145.0,1309.0,18.54
2019,国产新能源乘用车,北京市,思皓,思皓E20X,纯电动,1855.0,89.76470588235294,34.0,13.3
2019,国产新能源乘用车,北京市,日产,轩逸,纯电动,1940.0,80.0,428.0,13.735
2019,国产新能源乘用车,北京市,欧拉,欧拉iQ,纯电动,1855.0,120.0,260.0,13.254999999999999
2019,国产新能源乘用车,北京市,比亚迪,比亚迪S2,纯电动,1825.0,70.0,134.0,0.0
2019,国产新能源乘用车,北京市,江淮,江淮iEV6E,纯电动,1587.0460959548448,52.76105362182502,2126.0,6.75
2019,国产新能源乘用车,北京市,江淮,江淮iEVA50,纯电动,2121.3636363636365,92.81818181818181,44.0,13.764999999999999
2019,国产新能源乘用车,北京市,江淮,江淮iEVA60,纯电动,2365.0,110.0,2.0,0.0
2019,国产新能源乘用车,北京市,沃尔沃,沃尔沃S90,插电式汽油混合动力,2620.0,68.1774193548387,62.0,45.63999999999999
2019,国产新能源乘用车,北京市,沃尔沃,沃尔沃XC60,插电式汽油混合动力,2660.0,255.54098360655738,61.0,42.63999999999999
2019,国产新能源乘用车,北京市,现代,伊兰特EV,纯电动,1845.0,81.4,5.0,0.0
2019,国产新能源乘用车,北京市,现代,索纳塔九,插电式汽油混合动力,2230.0,50.0,34.0,0.0
2019,国产新能源乘用车,北京市,现代,领动,插电式汽油混合动力,2000.0,44.5,1.0,0.0
2019,国产新能源乘用车,北京市,祺智,祺智EV,纯电动,2080.0,132.0,207.0,13.48
2019,国产新能源乘用车,北京市,福特,蒙迪欧,插电式汽油混合动力,2233.0,92.0,7.0,18.430000000000003
2019,国产新能源乘用车,北京市,福特,领界,纯电动,2135.0,120.0,6.0,13.73
2019,国产新能源乘用车,北京市,红旗,红旗E-HS3,纯电动,2206.5714285714284,114.0,14.0,24.580000000000002
2019,国产新能源乘用车,北京市,腾势,腾势,纯电动,2415.3846153846152,135.0,52.0,31.380000000000003
2019,国产新能源乘用车,北京市,荣威,荣威Ei5,纯电动,1991.6988360814744,85.0,6186.0,14.68
2019,国产新能源乘用车,北京市,荣威,荣威e950,插电式汽油混合动力,2135.0,56.0,3.0,0.0
2019,国产新能源乘用车,北京市,蔚来,蔚来ES6,纯电动,2804.335414808207,71.65031222123105,1121.0,44.6
2019,国产新能源乘用车,北京市,蔚来,蔚来ES8,纯电动,3099.0,31.593533487297922,866.0,57.599999999999994
2019,国产新能源乘用车,北京市,起亚,起亚K5,插电式汽油混合动力,2200.0,50.0,3.0,18.48
2019,国产新能源乘用车,北京市,长安,奔奔,纯电动,1615.113475177305,55.0,705.0,0.0
2019,国产新能源乘用车,北京市,长安,逸动,插电式汽油混合动力,1975.0,80.0,2.0,8.840000000000002
2019,国产新能源乘用车,北京市,长安,逸动,纯电动,2024.9490445859872,99.98726114649682,785.0,8.840000000000002
2019,国产新能源乘用车,北京市,长安,长安CS15,纯电动,1905.0,48.349673202614376,306.0,6.940000000000001
2019,国产新能源乘用车,北京市,长安,长安CS75,插电式汽油混合动力,2445.0,17.0,20.0,11.14
2019,国产新能源乘用车,北京市,领克,领克01,插电式汽油混合动力,2250.0,111.42857142857143,7.0,18.635
2019,国产新能源乘用车,吉林省,东风风行,景逸S50,纯电动,2036.0,90.0,1.0,7.49
2019,国产新能源乘用车,吉林省,丰田,卡罗拉,插电式汽油混合动力,1975.0,53.0,25.0,13.48
2019,国产新能源乘用车,吉林省,丰田,雷凌,插电式汽油混合动力,1975.0,53.0,26.0,13.229999999999999
2019,国产新能源乘用车,吉林省,吉利,博瑞GE,插电式汽油混合动力,2165.0,64.8,15.0,15.829999999999998
2019,国产新能源乘用车,吉林省,吉利,嘉际,插电式汽油混合动力,2371.0,60.0,8.0,13.129999999999999
2019,国产新能源乘用车,吉林省,吉利,缤越,插电式汽油混合动力,1923.0,60.0,1.0,9.780000000000001
2019,国产新能源乘用车,吉林省,大众,宝来,纯电动,1980.0,100.0,13.0,13.45
2019,国产新能源乘用车,吉林省,大众,帕萨特,插电式汽油混合动力,2190.0,85.0,100.0,21.740000000000002
2019,国产新能源乘用车,吉林省,大众,途观L,插电式汽油混合动力,2300.0,85.5813953488372,86.0,22.974999999999994
2019,国产新能源乘用车,吉林省,大众,高尔夫,纯电动,1990.0,100.0,23.0,17.98
2019,国产新能源乘用车,吉林省,奔腾,奔腾B30,纯电动,1842.888888888889,87.77777777777777,9.0,0.0
2019,国产新能源乘用车,吉林省,奔腾,奔腾X40,纯电动,1955.0,140.0,33.0,0.0
